Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,2
Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,3
Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,3
Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,1
Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,4
Male,No,26,No,Homemaker,9.0,Low,3.0,Cat_6,4
Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,4
Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,4
Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,4
Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,4
Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,1
Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,3
Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,2
Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,4
Female,No,27,Yes,Artist,10.0,Low,3.0,Cat_6,1
Female,Yes,49,Yes,Artist,1.0,Low,2.0,Cat_6,3
Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,1
Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,1
Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,2
Female,No,29,Yes,Healthcare,1.0,Low,1.0,Cat_7,1
Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,4
Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,1
Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,2
Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,3
Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,1
Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,3
Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,1
Male,Yes,32,Yes,Artist,10.0,Average,2.0,Cat_6,2
Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,4
Male,No,32,No,Doctor,8.0,Low,2.0,Cat_6,4
Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,3
Male,Yes,72,Yes,Lawyer,1.0,Low,3.0,Cat_4,4
Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,3
Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,3
Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,4
Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,1
Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,1
Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,1
Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,1
Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,1
Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,2
Female,Yes,39,Yes,Homemaker,1.0,High,2.0,Cat_6,1
Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,4
Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,1
Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,2
Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,4
Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,3
Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,2
Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,4
Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,1
Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,3
Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,4
Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,3
Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,4
Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,1
Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,2
Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,1
Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,4
Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,3
Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,3
Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,4
Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,4
Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,2
Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,3
Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,3
Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,4
Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,2
Male,Yes,58,Yes,Artist,1.0,Average,1.0,Cat_6,4
Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,4
Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,3
Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,3
Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,4
Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,3
Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,2
Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,1
Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,1
Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,2
Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,4
Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,4
Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,4
Female,No,19,No,Healthcare,6.0,Low,5.0,Cat_3,4
Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,4
Male,Yes,59,Yes,Entertainment,1.0,Low,4.0,Cat_4,1
Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,1
Female,Yes,50,Yes,Doctor,1.0,Low,3.0,Cat_6,2
Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,3
Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,4
Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,2
Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,4
Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,3
Male,No,27,No,Artist,2.0,Low,7.0,Cat_4,4
Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,1
Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,3
Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,2
Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,2
Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,4
Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,4
Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,1
Female,Yes,42,No,Engineer,0.0,Low,3.0,Cat_6,1
Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,3
Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,1
Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,3
Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,1
Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,3
Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,4
Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6,1
Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,2
Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,1
Female,No,41,No,Artist,1.0,Low,2.0,Cat_6,2
Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,4
Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,4
Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,2
Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,1
Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,3
Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,3
Male,Yes,78,No,Lawyer,1.0,Low,3.0,Cat_6,2
Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,2
Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,3
Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,1
Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,2
Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,4
Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,3
Male,Yes,67,No,Lawyer,0.0,High,7.0,Cat_4,1
Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,1
Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,3
Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,2
Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,3
Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,4
Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,3
Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,3
Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,2
Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,3
Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,3
Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,4
Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,1
Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_6,3
Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,3
Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,3
Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,3
Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,4
Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,2
Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,3
Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,2
Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,3
Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,2
Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,2
Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,3
Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,3
Female,No,23,No,Engineer,10.0,Low,1.0,Cat_3,4
Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,4
Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,4
Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,1
Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,3
Male,Yes,52,No,Entertainment,1.0,Average,5.0,Cat_4,2
Female,No,29,Yes,Artist,1.0,Low,1.0,Cat_4,2
Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,3
Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,1
Male,Yes,38,Yes,Artist,1.0,Low,2.0,Cat_6,3
Female,Yes,85,No,Lawyer,1.0,Low,3.0,Cat_6,1
Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,1
Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,4
Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,2
Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,2
Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,3
Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,4
Male,Yes,48,Yes,Artist,1.0,Average,4.0,Cat_7,3
Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,3
Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,1
Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,1
Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,2
Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,1
Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,2
Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,3
Male,No,19,No,Healthcare,9.0,Low,3.0,Cat_3,4
Female,Yes,25,No,Engineer,6.0,Average,7.0,Cat_4,4
Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,1
Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,1
Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,4
Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,4
Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,3
Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,2
Female,Yes,50,No,Engineer,1.0,Average,4.0,Cat_2,2
Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,2
Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,2
Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,3
Female,No,85,No,Lawyer,0.0,High,1.0,Cat_3,3
Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,3
Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,4
Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,3
Male,Yes,25,No,Doctor,1.0,Average,2.0,Cat_4,2
Male,Yes,56,No,Executive,1.0,High,2.0,Cat_6,1
Male,No,62,Yes,Artist,0.0,Low,1.0,Cat_6,1
Female,No,35,No,Artist,0.0,Low,3.0,Cat_6,2
Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,1
Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,1
Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,4
Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,4
Female,No,56,No,Engineer,1.0,Low,1.0,Cat_6,1
Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,2
Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,2
Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,4
Female,Yes,25,Yes,Healthcare,1.0,Low,2.0,Cat_6,4
Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,4
Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,4
Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,2
Male,No,21,No,Healthcare,0.0,Low,4.0,Cat_6,4
Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,1
Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,3
Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,2
Female,No,33,Yes,Artist,0.0,Low,4.0,Cat_6,4
Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,2
Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,3
Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,3
Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,3
Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,1
Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,3
Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,3
Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,1
Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,4
Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,2
Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,1
Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,2
Female,No,49,No,Engineer,1.0,Low,3.0,Cat_7,1
Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,2
Male,Yes,47,No,Artist,1.0,Average,4.0,Cat_6,1
Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,3
Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,2
Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,1
Female,Yes,51,No,Executive,1.0,Low,1.0,Cat_6,1
Female,No,42,No,Homemaker,10.0,Low,3.0,Cat_6,1
Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,1
Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,1
Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,3
Female,No,46,Yes,Doctor,1.0,Low,3.0,Cat_3,1
Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,4
Female,No,33,No,Engineer,1.0,Low,4.0,Cat_6,3
Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,2
Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,4
Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,2
Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,3
Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,1
Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,1
Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,3
Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,4
Male,No,19,No,Entertainment,0.0,High,3.0,Cat_4,4
Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,2
Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,2
Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,2
Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,3
Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,2
Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,1
Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,4
Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,3
Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,1
Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,3
Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,1
Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,3
Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,2
Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,4
Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,1
Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,4
Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,3
Female,No,43,No,Entertainment,1.0,Low,1.0,Cat_6,2
Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,4
Female,No,32,No,Artist,1.0,Low,7.0,Cat_6,3
Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,4
Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,4
Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,2
Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,1
Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,1
Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,1
Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,2
Male,Yes,63,Yes,Entertainment,1.0,Average,3.0,Cat_6,3
Female,Yes,27,Yes,Healthcare,1.0,Low,2.0,Cat_6,4
Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,4
Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,4
Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,2
Male,Yes,41,Yes,Marketing,1.0,High,2.0,Cat_6,2
Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,3
Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,2
Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,2
Female,Yes,49,No,Engineer,1.0,Average,4.0,Cat_4,2
Male,Yes,55,No,Executive,3.0,Low,3.0,Cat_4,4
Female,No,57,Yes,Engineer,0.0,Average,4.0,Cat_2,3
Male,Yes,83,No,Lawyer,1.0,Low,1.0,Cat_4,2
Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,1
Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,1
Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,3
Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,4
Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,2
Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,2
Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,4
Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,2
Male,Yes,89,Yes,Lawyer,10.0,Low,1.0,Cat_6,1
Male,No,18,No,Healthcare,1.0,Low,4.0,Cat_6,4
Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,4
Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,1
Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,1
Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,4
Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,2
Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,4
Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,3
Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,2
Female,No,32,No,Engineer,1.0,Low,4.0,Cat_6,3
Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,3
Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,3
Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,1
Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,1
Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,4
Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,1
Female,No,38,Yes,Doctor,10.0,Low,1.0,Cat_6,1
Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,3
Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,2
Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,2
Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,1
Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,1
Female,No,26,No,Healthcare,1.0,Low,7.0,Cat_7,3
Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,1
Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,4
Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,1
Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,3
Female,Yes,60,Yes,Artist,1.0,High,4.0,Cat_6,3
Male,Yes,35,Yes,Artist,1.0,Average,4.0,Cat_6,3
Female,No,53,Yes,Engineer,1.0,Low,1.0,Cat_6,2
Female,Yes,86,No,Lawyer,1.0,Low,3.0,Cat_6,2
Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,2
Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,4
Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,1
Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,4
Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6,1
Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,1
Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,4
Female,No,42,Yes,Artist,1.0,Low,3.0,Cat_6,1
Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,1
Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,2
Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,1
Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6,2
Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,1
Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,4
Male,No,25,No,Executive,10.0,Low,3.0,Cat_6,1
Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,4
Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,3
Female,No,27,Yes,Artist,8.0,Low,1.0,Cat_6,2
Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,4
Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,4
Female,No,31,No,Doctor,1.0,Low,4.0,Cat_6,4
Male,No,23,No,Doctor,6.0,Low,4.0,Cat_2,4
Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,1
Male,No,30,No,Doctor,1.0,Low,1.0,Cat_3,3
Male,Yes,56,No,Artist,1.0,Average,2.0,Cat_6,3
Female,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6,3
Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6,4
Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,1
Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,2
Female,No,25,Yes,Artist,0.0,Low,6.0,Cat_6,1
Female,Yes,27,Yes,Artist,0.0,Average,2.0,Cat_4,2
Male,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6,1
Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,3
Female,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_7,3
Female,Yes,46,No,Artist,8.0,Average,2.0,Cat_6,2
Female,No,31,No,Healthcare,1.0,Low,2.0,Cat_6,4
Male,No,49,Yes,Doctor,1.0,Low,1.0,Cat_6,3
Female,No,26,Yes,Artist,9.0,Low,1.0,Cat_6,1
Male,Yes,43,Yes,Doctor,10.0,High,2.0,Cat_6,2
Female,Yes,30,Yes,Artist,8.0,Low,4.0,Cat_6,1
Female,Yes,70,Yes,Artist,1.0,Average,4.0,Cat_6,3
Female,No,28,Yes,Artist,1.0,Low,1.0,Cat_6,4
